price;cap_rate;borough_cap_rate;deep_date;yearqtr;crfn;BIN;boro;block tax;lot tax;boroblocklot;hnum_lo;hnum_hi;str_name;Census Tract;Council District;NTA;Postcode;Community Board;borough;Latitude;Longitude
45000000;0.018;0.034;06/21/2018;2018Q2;2.02E+12;1008855;1;551;16;1005510016;27;28;WASHINGTON SQUARE N;63;1;West Village;10011;102;MN;40.732023;-73.998196
16250000;0.016;0.05;06/02/2022;2022Q2;2.02E+12;1009597;1;575;75;1005750075;51;51;WEST 11 STREET;63;3;West Village;10011;102;MN;40.734729;-73.99668
9613000;0.039;0.05;04/07/2022;2022Q2;2.02E+12;1077747;1;495;31;1004950031;239;239;MULBERRY STREET;43;1;SoHo-TriBeCa-Civic Center-Little Italy;10012;102;MN;40.722778;-73.995949
11200000;0.047;0.055;10/28/2021;2021Q4;2.02E+12;1008632;1;537;6;1005370006;218;220;THOMPSON STREET;65;1;West Village;10012;102;MN;40.729075;-73.999112
17000000;0.032;0.05;06/01/2022;2022Q2;2.02E+12;1008704;1;540;23;1005400023;100;100;WEST 3 STREET;65;1;West Village;10012;102;MN;40.730142;-73.999553
8500000;0.014;0.033;12/18/2018;2018Q4;2.02E+12;1079542;1;206;4;1002060004;119;119;BAXTER STREET;41;1;SoHo-TriBeCa-Civic Center-Little Italy;10013;102;MN;40.718065;-73.998975
22600000;0.026;0.033;09/14/2018;2018Q3;2.02E+12;1003114;1;238;40;1002380040;173;175;HESTER STREET;41;1;SoHo-TriBeCa-Civic Center-Little Italy;10013;102;MN;40.71781;-73.996908
9000000;0.014;0.035;04/05/2019;2019Q2;2.02E+12;1002642;1;205;23;1002050023;111;111;MOTT STREET;41;1;SoHo-TriBeCa-Civic Center-Little Italy;10013;102;MN;40.717516;-73.997338
8525000;0.029;0.05;03/03/2022;2022Q1;2.02E+12;1076926;1;589;11;1005890011;32;32;CORNELIA STREET;67;3;West Village;10014;102;MN;40.73138;-74.002241
5725000;0.028;0.033;12/18/2018;2018Q4;2.02E+12;1003403;1;280;6;1002800006;33;33;HENRY STREET;8;1;Chinatown;10002;103;MN;40.712905;-73.995946
12000000;0.016;0.034;04/25/2018;2018Q2;2.02E+12;1003329;1;277;2;1002770002;77;79;MADISON STREET;8;1;Chinatown;10002;103;MN;40.712142;-73.996259
8500000;0.019;0.033;12/18/2018;2018Q4;2.02E+12;1003311;1;276;34;1002760034;110;110;MADISON STREET;8;1;Chinatown;10002;103;MN;40.71223;-73.995138
7875000;0.032;0.062;04/14/2020;2020Q2;2.02E+12;1003268;1;274;13;1002740013;73;73;MONROE STREET;8;1;Chinatown;10002;103;MN;40.711744;-73.992678
6400000;0.054;0.062;04/08/2020;2020Q2;2.02E+12;1004051;1;310;40;1003100040;61;63;HESTER STREET;16;1;Chinatown;10002;103;MN;40.715751;-73.990379
4800000;0.03;0.05;03/03/2022;2022Q1;2.02E+12;1003971;1;306;35;1003060035;107;109;HESTER STREET;16;1;Chinatown;10002;103;MN;40.716525;-73.992948
7100000;0.028;0.034;05/09/2018;2018Q2;2.02E+12;1004021;1;310;3;1003100003;38;38;LUDLOW STREET;16;1;Chinatown;10002;103;MN;40.71605;-73.990415
4070000;0.05;0.055;07/07/2021;2021Q3;2.02E+12;1005491;1;415;31;1004150031;129;129;ALLEN STREET;18;1;Chinatown;10002;103;MN;40.719967;-73.989985
22500000;0.017;0.035;06/11/2019;2019Q2;2.02E+12;1005275;1;408;11;1004080011;249;251;BROOME STREET;18;1;Chinatown;10002;103;MN;40.717991;-73.98982
3430000;0.046;0.05;01/13/2022;2022Q1;2.02E+12;1003232;1;271;44;1002710044;221;221;MADISON STREET;6;1;Lower East Side;10002;103;MN;40.712735;-73.989013
9250000;0.013;0.035;05/29/2019;2019Q2;2.02E+12;1004304;1;353;60;1003530060;137;137;RIVINGTON STREET;1402;1;Lower East Side;10002;103;MN;40.71947;-73.986374
4000000;0.051;0.061;07/20/2020;2020Q3;2.02E+12;1006581;1;460;19;1004600019;216;216;EAST 5 STREET;38;2;East Village;10003;103;MN;40.727452;-73.990609
8159083;0.041;0.056;04/23/2021;2021Q2;2.02E+12;1006636;1;461;45;1004610045;223;223;EAST 5 STREET;38;2;East Village;10003;103;MN;40.727427;-73.990504
9371919;0.027;0.056;04/23/2021;2021Q2;2.02E+12;1006620;1;461;22;1004610022;228;228;EAST 6 STREET;38;2;East Village;10003;103;MN;40.727773;-73.98945
10055518;0.026;0.056;04/23/2021;2021Q2;2.02E+12;1006274;1;448;17;1004480017;66;66;EAST 7 STREET;38;2;East Village;10003;103;MN;40.727504;-73.987019
8379598;0.035;0.056;04/23/2021;2021Q2;2.02E+12;1006372;1;450;21;1004500021;334;334;EAST 9 STREET;38;2;East Village;10003;103;MN;40.728783;-73.986315
10700000;0.041;0.047;10/22/2019;2019Q4;2.02E+12;1006670;1;463;20;1004630020;22;22;ST MARKS PLACE;38;2;East Village;10003;103;MN;40.729008;-73.988653
12916930;0.034;0.056;04/23/2021;2021Q2;2.02E+12;1006752;1;464;46;1004640046;27;27;ST MARKS PLACE;38;2;East Village;10003;103;MN;40.728934;-73.988436
19475951;0.028;0.056;04/23/2021;2021Q2;2.02E+12;1006505;1;454;59;1004540059;323;325;EAST 12 STREET;40;2;East Village;10003;103;MN;40.730715;-73.985178
11696155;0.032;0.056;04/23/2021;2021Q2;2.02E+12;1006504;1;454;57;1004540057;327;327;EAST 12 STREET;40;2;East Village;10003;103;MN;40.730688;-73.985109
12744046;0.024;0.056;04/23/2021;2021Q2;2.02E+12;1006503;1;454;56;1004540056;329;329;EAST 12 STREET;40;2;East Village;10003;103;MN;40.730674;-73.985073
4660000;0.055;0.055;07/21/2021;2021Q3;2.02E+12;1006074;1;442;17;1004420017;43;43;EAST 1 STREET;3602;2;East Village;10003;103;MN;40.723931;-73.990035
7000000;0.029;0.033;12/12/2018;2018Q4;2.02E+12;1005048;1;401;15;1004010015;510;512;EAST 6 STREET;32;2;East Village;10009;103;MN;40.725247;-73.983451
8000000;0.031;0.05;03/21/2022;2022Q1;2.02E+12;1077666;1;438;9;1004380009;180;180;1 AVENUE;34;2;East Village;10009;103;MN;40.729277;-73.984052
9041146;0.024;0.056;04/23/2021;2021Q2;2.02E+12;1005963;1;438;51;1004380051;253;253;EAST 10 STREET;34;2;East Village;10009;103;MN;40.728525;-73.983829
12250000;0.038;0.05;02/03/2022;2022Q1;2.02E+12;1005909;1;437;21;1004370021;280;280;EAST 10 STREET;34;2;East Village;10009;103;MN;40.728201;-73.983097
9923209;0.013;0.056;04/23/2021;2021Q2;2.02E+12;1005170;1;405;13;1004050013;510;510;EAST 12 STREET;34;2;East Village;10009;103;MN;40.728862;-73.980816
9482177;0.04;0.056;04/23/2021;2021Q2;2.02E+12;1005172;1;405;15;1004050015;514;514;EAST 12 STREET;34;2;East Village;10009;103;MN;40.728834;-73.980748
2800000;0.031;0.061;09/09/2020;2020Q3;2.02E+12;1005262;1;407;54;1004070054;513;513;EAST 13 STREET;34;2;East Village;10009;103;MN;40.729391;-73.98004
14000000;0.022;0.033;01/09/2019;2019Q1;2.02E+12;1004387;1;373;19;1003730019;332;334;EAST 4 STREET;2601;2;Lower East Side;10009;103;MN;40.721766;-73.978971
5500000;0.016;0.035;05/17/2019;2019Q2;2.02E+12;1076901;1;199;31;1001990031;102;102;BAYARD STREET;29;1;Chinatown;10013;103;MN;40.716081;-73.999769
20150000;0.015;0.035;06/17/2019;2019Q2;2.02E+12;1002382;1;199;34;1001990034;106;108;BAYARD STREET;29;1;Chinatown;10013;103;MN;40.716139;-73.999931
6500000;0.025;0.033;01/15/2019;2019Q1;2.02E+12;1003357;1;277;52;1002770052;31;31;CATHERINE STREET;8;1;Chinatown;10038;103;MN;40.712502;-73.997039
41409879;0.021;0.034;04/05/2018;2018Q2;2.02E+12;1014575;1;792;20;1007920020;125;129;WEST 16 STREET;81;3;Hudson Yards-Chelsea-Flatiron-Union Square;10011;104;MN;40.739079;-73.996781
7200000;0.04;0.055;08/06/2021;2021Q3;2.02E+12;1078581;1;766;50;1007660050;208;210;WEST 17 STREET;81;3;Hudson Yards-Chelsea-Flatiron-Union Square;10011;104;MN;40.740712;-73.998881
6000000;0.046;0.061;10/30/2020;2020Q4;2.02E+12;1013856;1;767;66;1007670066;244;244;WEST 18 STREET;81;3;Hudson Yards-Chelsea-Flatiron-Union Square;10011;104;MN;40.741604;-73.999184
7500000;0.047;0.055;08/23/2021;2021Q3;2.02E+12;1013210;1;743;20;1007430020;335;337;WEST 19 STREET;89;3;Hudson Yards-Chelsea-Flatiron-Union Square;10011;104;MN;40.743317;-74.001386
14500000;0.035;0.055;12/31/2021;2021Q4;2.02E+12;1013301;1;745;26;1007450026;313;315;WEST 21 STREET;89;3;Hudson Yards-Chelsea-Flatiron-Union Square;10011;104;MN;40.744297;-74.000079
6000000;0.052;0.061;07/31/2020;2020Q3;2.02E+12;1025190;1;1041;64;1010410064;750;750;9 AVENUE;133;3;Clinton;10019;104;MN;40.76377;-73.98873
9900000;0.024;0.034;06/25/2018;2018Q2;2.02E+12;1026804;1;1064;56;1010640056;448;448;WEST 55 STREET;139;3;Clinton;10019;104;MN;40.76721;-73.988087
19000000;0.025;0.05;05/13/2022;2022Q2;2.02E+12;1077124;1;1065;44;1010650044;418;424;WEST 56 STREET;139;3;Clinton;10019;104;MN;40.767569;-73.987
12988352;0.02;0.05;03/30/2022;2022Q1;2.02E+12;1026484;1;1056;15;1010560015;439;439;WEST 46 STREET;127;3;Clinton;10036;104;MN;40.761537;-73.992037
44000000;0.008;0.033;02/15/2019;2019Q1;2.02E+12;1035467;1;1287;8;1012870008;5;5;EAST 51 STREET;102;4;Midtown-Midtown South;10022;105;MN;40.758998;-73.976324
19500000;0.019;0.034;04/19/2018;2018Q2;2.02E+12;1038588;1;1329;121;1013290121;245;247;EAST 55 STREET;108;4;Turtle Bay-East Midtown;10022;106;MN;40.758518;-73.967434
