Categ;GobTGob;GobGen;GobMil;GobPol;GobEco;GobMA;GobInf;GobSal;GobCul;GobEdu;GobSoc;CenTCen;CenGen;CenMil;CenPol;CenEco;CenMA;CenInf;CenSal;CenCul;CenEdu;CenSoc;FedTfed;FedGen;FedMil;FedPol;FedEco;FedMA;FedInf;FedSal;FedCul;FedEdu;FedSoc;LocTloc;LocGen;LocMil;LocPol;LocEco;LocMA;LocInf;LocSal;LocCul;LocEdu;LocSoc;SSTSS;SSGen;SSMil;SSPol;SSEco;SSMA;SSInf;SSSal;SSCul;SSEdu;SSSoc;coord2
Belgium;59.2;7.4;0.9;1.8;7.8;1.5;0.4;8;1.3;6.6;22.7;31;20.8;0.9;1.2;2.4;0.2;0;0.4;0.1;0;5.1;21.7;3.4;0;0.1;4.3;0.8;0.2;1.2;0.5;6.1;5.1;7.4;1.4;0;0.9;0.7;0.5;0.2;0.1;0.7;1.4;1.5;24.9;0;0;0;0.7;0;0;7.2;0;0;17;0
Bulgaria;41.8;3.5;1.5;2.7;8.5;0.7;0.9;8.2;0.9;4;13.1;28.9;10.5;1.5;2.7;7.7;0.1;0.1;2.6;0.8;1.4;1.6;0;0;0;0;0;0;0;0;0;0;0;7.4;0.6;0.1;0;0.7;0.6;0.8;0.7;0.4;2.7;0.8;15.9;0;0;0;0.8;0;0;3.9;0;0;11.1;1
Czechia;47.2;5.2;1;2.1;7.2;0.9;0.7;8.8;1.4;5.1;14.4;35.1;4.2;1;1.9;5.2;0.2;0.2;4.1;0.6;4.1;13.6;0;0;0;0;0;0;0;0;0;0;0;13.1;1.5;0;0.2;2.3;0.7;0.5;1.9;0.8;3.8;1.2;6.3;0;0;0;0;0;0;6.3;0;0;0;2
Denmark;53.4;6.3;1.2;1;5.1;0.4;0.2;5.9;1.7;6.4;22.4;39.9;15.1;1.2;0.9;3.9;0.2;0.1;0.6;1;3.8;13.2;0;0;0;0;0;0;0;0;0;0;0;34.4;1.5;0;0.1;1.2;0.2;0.1;8.7;0.7;2.9;19;2.1;0;0;0;0;0;0;0;0;0;2.1;3
Germany ;50.8;6.1;1.1;1.7;4.6;0.7;0.5;9.2;1.1;4.7;21.8;15.1;3.8;1.2;0.2;1.9;0.2;0.1;0.8;0.1;0.5;6.2;16;4;0;1.2;2.2;0.2;0.2;0.8;0.6;3.5;3.4;8.8;1.5;0;0.3;1.2;0.3;0.3;0.2;0.5;1.5;3;22.4;0;0;0;0.5;0;0;7.5;0;0;14.3;4
Estonia;45.9;4;2.5;2;5.9;0.7;0.4;8.9;2.1;6.6;15;39.1;8.8;2.5;2;3.9;0.4;0;3.3;1.2;3.8;13.4;0;0;0;0;0;0;0;0;0;0;0;10.7;0.6;0;0;1.5;0.3;0.4;1.7;0.9;4.3;0.9;9.8;0;0;0;1;0;0;5.6;0;0;3.2;5
Ireland;27.4;2.3;0.2;0.9;3.5;0.4;0.7;8.5;0.5;3.1;10.2;22.8;2.6;0.2;0.8;3.5;0.2;0.4;5.4;0.4;3.5;5.7;0;0;0;0;0;0;0;0;0;0;0;2.4;0.1;0;0.1;0.5;0.2;0.4;0;0.2;0;0.9;3.8;0;0;0;0;0;0;0;0;0;3.8;6
Greece;59.8;8.4;2.6;2.4;9.9;1.6;0.3;6.7;1;4.5;22.5;45.6;22.7;2.6;2.4;8.6;0.8;0;3.5;0.4;4.2;0.4;0;0;0;0;0;0;0;0;0;0;0;3.9;0.9;0;0;1.1;0.8;0.2;0;0.6;0.2;0.1;25.8;0.3;0;0;0.2;0;0;3.2;0;0;22;7
Spain;52.4;5.9;0.9;2.1;6.6;1;0.5;5.4;1.3;4.6;22.1;25.8;18.1;0.9;1.1;2.9;0.1;0;0.3;0.2;0.2;1.9;18.4;3;0;0.5;1.7;0.2;0.2;7.1;0.3;4.2;1.2;6.4;2.2;0;0.5;1.1;0.7;0.3;0.1;0.8;0.2;0.7;19.6;0.4;0;0;0.9;0;0;0.1;0;0;18.2;8
France;61.6;5.8;1.9;1.8;6.8;1;1.1;6.7;1.5;5.5;27.3;25.5;5.6;1.9;1.4;4.7;0.2;0.2;0.6;0.4;4;6.3;0;0;0;0;0;0;0;0;0;0;0;11.7;2.1;0;0.4;2.4;0.9;0.9;0.1;1;1.6;2.3;28.7;0.2;0;0;0.1;0;0;8.7;0;0;19.7;9
Croatia;54.5;6.2;1.1;2.4;11.3;0.8;2.4;7.6;1.7;5.4;15.7;35.4;17.6;1.1;2.2;6.3;0.5;1.3;2.3;0.7;1.4;1.9;0;0;0;0;0;0;0;0;0;0;0;14.2;1.1;0;0.2;2.8;0.3;1.2;2.7;1;4;0.9;21.4;4;0;0;2.2;0;0;2.3;0;0;12.9;10
Italy;57.1;8.7;1.4;2;5.4;1;0.5;9;0.8;4.3;25.2;37.4;9;1.4;1.8;5;0.1;0.2;5.7;0.6;3.6;10;0;0;0;0;0;0;0;0;0;0;0;15.5;2.4;0;0.2;1.9;0.9;0.4;7.7;0.3;1;0.8;23.6;0;0;0;0.2;0;0;0.1;0;0;23.3;11
Cyprus;45.1;7.6;1.9;1.9;5.6;0.3;1.5;7.3;0.9;5.9;13.6;35.1;7;1.9;1.9;5.6;0.1;1.7;4.9;0.6;5.9;5.5;0;0;0;0;0;0;0;0;0;0;0;1.6;0.7;0;0;0;0.2;0.5;0;0.3;0;0;11.9;0;0;0;0;0;0;3.7;0;0;8.2;12
